Name,CORDEX Area,deg,NP7 lon,NP7 lat,N lon,N lat,west_degrees,east_degrees,south_degrees,north_degrees
SAM-44,South America,0.44,-56.06,70.6,146,167,143.92,207.72,-38.28,34.76
CAM-44,Central America,0.44,113.98,75.74,210,113,-52.8,39.16,-28.6,20.68
NAM-44,North America,0.44,83,42.5,155,130,-33.88,33.88,-28.4,28.36
EUR-44,Europe,0.44,-162,39.25,106,103,-28.21,17.99,-23.21,21.67
AFR-44,Africa,0.44,N/A,90,194,201,-24.64,60.28,-45.76,42.24
WAS-44,South Asia,0.44,-123.34,79.95,193,130,-32.12,52.36,-21.56,35.2
EAS-44,East Asia,0.44,-64.78,77.61,203,167,-40.92,47.96,-26.84,46.2
CAS-44,Central Asia,0.44,-103.39,43.48,153,100,-34.32,32.56,-20.68,22.88
AUS-44,Australasia,0.44,141.38,60.31,200,129,142.16,229.72,-22.88,33.44
ANT-44,Antarctica,0.44,-166.92,6.08,125,97,152.72,207.28,-27.72,14.52
ARC-44,Arctic,0.44,0,6.55,116,133,-22.88,27.72,-24.2,33.88
MED-44,Mediterranean,0.44,198,39.25,98,63,-23.22,19.46,-21.34,5.94
MNA-44,Middle East and North Africa,0.44,N/A,90,232,118,-26.4,75.24,-6.6,44.88
MNA-22,Middle East and North Africa high res.,0.22,N/A,90,464,236,-26.51,75.35,-6.71,44.99
EUR-11,Europe high res.,0.11,-162,39.25,424,412,-28.375,18.155,-23.375,21.835
