Name,CORDEX Area,west_degrees,east_degrees,south_degrees,north_degrees
SAM-44,South America,143.92,207.72,-38.28,34.76
CAM-44,Central America,-52.8,39.16,-28.6,20.68
NAM-44,North America,-33.88,33.88,-28.4,28.36
EUR-44,Europe,-28.21,17.99,-23.21,21.67
AFR-44,Africa,-24.64,60.28,-45.76,42.24
WAS-44,South Asia,-32.12,52.36,-21.56,35.2
EAS-44,East Asia,-40.92,47.96,-26.84,46.2
CAS-44,Central Asia,-34.32,32.56,-20.68,22.88
AUS-44,Australasia,142.16,229.72,-22.88,33.44
ANT-44,Antarctica,152.72,207.28,-27.72,14.52
ARC-44,Arctic,-22.88,27.72,-24.2,33.88
MED-44,Mediterranean,-23.22,19.46,-21.34,5.94
MNA-44,Middle East and North Africa,-26.4,75.24,-6.6,44.88
MNA-22,Middle East and North Africa high res.,-26.51,75.35,-6.71,44.99
EUR-11,Europe high res.,-28.375,18.155,-23.375,21.835
SAM-44i,South America,-106.25,-16.25,-58.25,18.75
CAM-44i,Central America,-124.75,-21.75,-19.75,35.25
NAM-44i,North America,-171.75,-22.25,12.25,76.25
EUR-44i,Europe,-44.75,65.25,21.75,72.75
AFR-44i,Africa,-25.25,60.75,-46.25,42.75
WAS-44i,South Asia,19.25,116.25,-15.75,45.75
EAS-44i,East Asia,62.75,175.75,-18.75,59.25
CAS-44i,Central Asia,10.75,140.25,17.75,69.75
AUS-44i,Australasia,88.75,207.25,-53.25,12.75
ANT-44i,Antarctica,-179.75,179.75,-89.75,-55.25
ARC-44i,Arctic,-179.75,179.75,48.75,89.75
MED-44i,Mediterranean,-20.75,51.75,25.25,57.25
MNA-44i,Middle East and North Africa,-26.75,75.75,-7.25,45.25
MNA-22i,Middle East and North Africa - high res.,-26.625,75.625,-6.875,45.125
EUR-11i,Europe high - res.,-44.8125,65.1875,21.8125,72.6875
